id;active;provisioned;frp_id;frp_name;frp_contract_type_code;frp_contract_type_indicator
1;false;true;Borders Avon harness;Customer violet;USB bypassing;Executive Flats overriding
2;true;false;Practical olive;Profound;infrastructures;Optional
3;false;true;Rue Dynamic;interactive Fiji;platforms;Georgia bypassing
4;true;false;pixel intuitive Bacon;Monitored web-enabled Specialist;indexing Soft Berkshire;Ball Account
5;true;false;orchestrate;Chair;Islands;Identity Consultant
6;true;false;Salad Cotton Car;PCI Group;green Mauritius Mongolia;panel Belarussian Congo
7;false;false;compress;Fish yellow Grass-roots;Flat Shirt Plain;enterprise Rustic
8;false;true;RAM Ferry e-business;generating digital;Hat payment;Industrial Legacy Montserrat
9;false;false;Inlet deposit 1080p;Plastic;Knolls Bedfordshire Planner;Highway compressing and
10;false;false;Soap;navigate;open-source indexing bluetooth;Cheese Industrial communities
